Date,Time,Journey,Charge (GBP),Capped,Notes
26/11/2019,08:33 - 09:00,Canada Water to Victoria (London Underground),-2.90,N,
26/11/2019,20:42 - 21:04,Victoria (London Underground) to Canada Water,-2.40,N,
27/11/2019,08:50 - 09:14,Canada Water to Victoria (London Underground),-2.90,N,
27/11/2019,19:10 - 19:34,Victoria (London Underground) to Canada Water,-2.40,N,
28/11/2019,08:56 - 09:17,Canada Water to Victoria (London Underground),-2.90,N,
28/11/2019,20:32 - 20:56,Victoria (London Underground) to Canada Water,-2.40,N,
29/11/2019,09:05 - 09:28,Canada Water to Victoria (London Underground),-2.90,N,
29/11/2019,20:26 - 21:03,Victoria (London Underground) to Elephant & Castle (London Underground),-2.40,N,
29/11/2019,22:15 - 22:37,Elephant & Castle (London Underground) to Canada Water,-1.70,Y,
29/11/2019,23:11 - 23:26,Canada Water to Shoreditch High Street,0.00,Y,
29/11/2019,02:39 - 03:01,Shoreditch High Street to Canada Water,0.00,Y,
01/10/2019,08:56 - 09:22,Canada Water to Victoria (London Underground),-2.90,N,
01/10/2019,19:42 - 20:03,Victoria (London Underground) to Canada Water,-2.40,N,
02/10/2019,08:28 - 08:58,Canada Water to Victoria (London Underground),-2.90,N,
02/10/2019,20:33 - 20:55,Victoria (London Underground) to Canada Water,-2.40,N,
03/10/2019,09:10 - 09:39,Canada Water to Victoria (London Underground),-2.90,N,
03/10/2019,18:28 - 18:49,Victoria (London Underground) to Canada Water,-2.90,N,
04/10/2019,09:02 - 09:22,Canada Water to Victoria (London Underground),-2.90,N,
04/10/2019,18:48 - 19:16,Victoria (London Underground) to Canada Water,-2.90,N,
05/10/2019,23:18 - 23:39,Canada Water to Farringdon,-2.40,N,
06/10/2019,14:22 - 14:48,Clapham South to Canada Water,-2.40,N,
07/10/2019,09:23 - 09:43,Canada Water to Victoria (London Underground),-2.90,N,
07/10/2019,19:12 - 19:35,Victoria (London Underground) to Canada Water,-2.40,N,
08/10/2019,09:33 - 09:56,Canada Water to Victoria (London Underground),-2.40,N,
08/10/2019,19:43 - 20:09,Victoria (London Underground) to Canada Water,-2.40,N,
09/10/2019,09:13 - 09:34,Canada Water to Victoria (London Underground),-2.90,N,
09/10/2019,19:11 - 19:30,Victoria (London Underground) to Angel,-2.40,N,
09/10/2019,22:51 - 23:17,Angel to Canada Water,-1.70,Y,
10/10/2019,09:15 - 09:35,Canada Water to Victoria (London Underground),-2.90,N,
10/10/2019,20:25 - 20:48,Victoria (London Underground) to Canada Water,-2.40,N,
11/10/2019,13:04 - 13:27,Canada Water to Victoria (London Underground),-2.40,N,
11/10/2019,17:10 - 17:30,Victoria (London Underground) to Paddington (London Underground),-2.40,N,
13/10/2019,20:26 - 21:01,Paddington (London Underground) to Canada Water,-2.40,N,
14/10/2019,09:21 - 09:50,Canada Water to Victoria (London Underground),-2.90,N,
14/10/2019,19:48 - 20:07,Victoria (London Underground) to Canada Water,-2.40,N,
15/10/2019,09:15 - 09:42,Canada Water to Victoria (London Underground),-2.90,N,
15/10/2019,18:58 - 19:21,Victoria (London Underground) to Canada Water,-2.40,N,
16/10/2019,09:21 - 09:44,Canada Water to Victoria (London Underground),-2.90,N,
16/10/2019,20:52 - 21:14,Victoria (London Underground) to Canada Water,-2.40,N,
17/10/2019,08:58 - 09:18,Canada Water to Victoria (London Underground),-2.90,N,
17/10/2019,20:53 - 21:15,Victoria (London Underground) to Canada Water,-2.40,N,
19/10/2019,21:42 - 21:51,Canada Water to London Bridge (London Underground),-2.40,N,
22/10/2019,08:53 - 09:23,Canada Water to Victoria (London Underground),-2.90,N,
22/10/2019,19:34 - 19:53,Victoria (London Underground) to Canada Water,-2.40,N,
23/10/2019,09:05 - 09:27,Canada Water to Victoria (London Underground),-2.90,N,
23/10/2019,21:16 - 21:37,Victoria (London Underground) to Canada Water,-2.40,N,
24/10/2019,09:18 - 09:40,Canada Water to Victoria (London Underground),-2.90,N,
24/10/2019,23:12 - 23:44,Victoria (London Underground) to Camden Town,-2.40,N,
24/10/2019,00:23 - 00:49,Camden Town to Canada Water,-1.70,Y,
25/10/2019,09:18 - 09:37,Canada Water to Victoria (London Underground),-2.90,N,
25/10/2019,19:43 - 20:03,Victoria (London Underground) to Canada Water,-2.40,N,
26/10/2019,19:39 - 20:10,Canada Water to Farringdon,-2.40,N,
30/10/2019,09:20 - 09:40,Canada Water to Victoria (London Underground),-2.90,N,
30/10/2019,20:16 - 20:40,Victoria (London Underground) to Canada Water,-2.40,N,
31/10/2019,09:34 - 09:53,Canada Water to Victoria (London Underground),-2.40,N,
31/10/2019,18:22 - 18:43,Victoria (London Underground) to Canada Water,-2.90,N,
10/09/2019,09:06 - 09:29,Canada Water to Victoria (London Underground),-2.90,N,
10/09/2019,18:11 - 18:37,Victoria (London Underground) to Canada Water,-2.90,N,
